Date,Event,Description,SharedOrPersonal
31 Dec 2019,Bushfires over New Years,"The fire in Mogo cut all communication in the region. I heard nothing from my family there for 25 hours.","Shared"
1 Jan 2020,Sundown 2020 festival,"I danced while waiting to hear from my family.","Personal"
3 Jan 2020,State of Disaster in Victoria,"State of Disaster declared in Victoria with bushfire conditions expected to deteriorate.","Shared"
6 Jan 2020,Cambridge masks,"We ordered Cambridge masks to protect against bushfire smoke.","Personal"
8 Jan 2020,Offsite work activity,"I was nervous about smoke inhalation and paid for Ubers to the offsite to avoid asthma problems.","Personal"
16 Jan 2020,Air quality deteriorates,"We are monitoring air quality before leaving the house.","Shared"
20 Jan 2020,"Hailstorms, flash flooding, and thunderstorms","Canberra and NSW cop massive hailstorms. Victoria suffers hailstorms, thunderstorms, and flash flooding.","Shared"
25 Jan 2020,First COVID-19 case reported in Australia,"It's here!","Shared"
2 Feb 2020,Went to the zoo,"This was lovely.","Personal"
6 Feb 2020,Performance sync,"This was kinda brutal.","Personal"
8 Feb 2020,Started Animation course,"SVG Essentials & Animation, v2 by Sarah Drasner.","Personal"
20 Feb 2020,Train derailment in Victoria,"A train derailed in Wallan, killing 2 people.","Shared"
21 Feb 2020,Cancelled my train ticket,"The train derailment on the line I was supposed to take that weekend to Sydney meant I needed to replace my train ticket with a last-minute plane ticket.","Personal"
27 Feb 2020,ReactConf AU in Sydney,"2-day conference interstate. People were flying in with cases at this time.","Personal"
1 Mar 2020,First Covid death reported in Australia,"A 78-year-old Perth man, who was one of the passengers from the Diamond Princess.","Shared"
3 Mar 2020,Supermarkets begin rationing toilet paper,"Panic buying led to shortages in stores.","Shared"
4 Mar 2020,We all learn how to wash our hands,"See also: TikTok hand washing dance. See also: hand washing meme.","Shared"
10 Mar 2020,Culture Amp starts working from home,"A level playing field.","Personal"
12 Mar 2020,WHO officially declares COVID-19 a pandemic,"We stop talking about the novel coronavirus and start talking about the pandemic.","Shared"
12 Mar 2020,Tom Hanks and his wife Rita Wilson test positive,"Isolated in Gold Coast hospital.","Shared"
15 Mar 2020,Visited family in Melbourne,"Who knew there'd be so few trips after this?","Personal"
15 Mar 2020,Coles imposes 2-item limit on panic shoppers,"The purchase of mince, pasta, flour, dry rice, paper towels, paper tissues and hand sanitisers is limited to 2 items per customer. Toilet paper remains limited to 1 pack per customer.","Shared"
16 Mar 2020,State of Emergency,"Victoria declares state of emergency.","Shared"
16 Mar 2020,Ordered food online from CERES,"I felt so much relief at the ability to order food online again.","Personal"
19 Mar 2020,Australia closes its borders,"Closed the borders to all non-residents.","Shared"
19 Mar 2020,Ruby Princess cruise ship docked in Sydney,"Celebrity Solstice contributed 11 cases. Eventually 440 passengers on Ruby Princess tested positive.","Shared"
21 Mar 2020,Social distancing rules imposed,"Nation-wide social distancing. Indoor gatherings of fewer than 100 people are still allowed.","Shared"
22 Mar 2020,Dan Andrews says we shouldn't get on the beers,"“You won’t be able to go to the pub because the pub is shut,” said Premier Dan Andrews. “That doesn’t mean you can have all your mates around to [your] home and get on the beers, that’s not appropriate.”","Shared"
23 Mar 2020,Nation-wide lockdown begins,"From midday, 23 March, all pubs, clubs, restaurants, cinemas and indoor sporting venues across the country shut down.","Shared"
24 Mar 2020,Non-essential businesses closed,"For Victoria. Limit your day to day activities outside your home. If you don’t need to do it, don’t do it. If you have to go outside, keep a full arm-span (about 1.5 metres) between yourself and other people.","Shared"
28 Mar 2020,Finished one of Shirley Wu's D3 courses,"","Personal"
